uid,variant_number,active_mins_post,active_mins_pre,gender,user_type
0,0,43.0,70.0,male,non_reader
1,0,15205.0,19158.0,male,reader
2,0,17.0,37.0,male,non_reader
3,0,77.0,108.0,male,non_reader
4,0,39.0,66.0,male,non_reader
5,0,174.0,21.0,female,non_reader
6,0,26.0,12.0,female,non_reader
7,0,21.0,34.0,male,non_reader
9,0,42.0,52.0,female,non_reader
10,0,127.0,74.0,male,non_reader
11,0,142.0,96.0,female,non_reader
13,0,17.0,29.0,male,non_reader
14,0,3.0,15.0,male,non_reader
15,0,35.0,1523.0,male,reader
16,0,56.0,9.0,female,non_reader
17,0,5462.0,717.0,female,reader
18,0,2.0,33.0,male,non_reader
19,0,551.0,228.0,female,reader
20,0,77.0,127.0,male,non_reader
21,0,11.0,25.0,male,non_reader
22,0,19.0,10.0,male,new_user
23,0,58.0,61.0,female,non_reader
24,0,130.0,31.0,female,non_reader
25,0,359.0,205.0,male,reader
26,0,10.0,17.0,female,non_reader
27,0,13.0,73.0,unknown,non_reader
28,0,270.0,265.0,unknown,contributor
29,0,3787.0,3932.0,male,reader
30,0,771.0,726.0,male,contributor
31,0,42.0,74.0,female,non_reader
32,0,36.0,68.0,male,non_reader
33,0,96.0,25.0,unknown,non_reader
34,0,72.0,79.0,male,non_reader
36,0,317.0,264.0,female,reader
37,0,23.0,29.0,female,non_reader
38,0,1099.0,690.0,male,reader
39,0,164.0,1063.0,male,reader
40,0,8.0,5.0,female,non_reader
41,0,97.0,112.0,male,non_reader
42,0,1.0,8.0,female,new_user
43,0,28.0,22.0,female,non_reader
44,0,67.0,81.0,unknown,non_reader
45,0,3.0,31.0,male,non_reader
46,0,42.0,35.0,male,non_reader
47,0,10.0,9.0,male,non_reader
48,0,21.0,101.0,unknown,non_reader
49,0,13.0,4.0,male,non_reader
50,0,123.0,477.0,male,reader
51,0,40.0,120.0,male,non_reader
52,0,1081.0,1733.0,unknown,contributor
53,0,35.0,17.0,male,non_reader
54,0,20.0,27.0,female,non_reader
55,0,2.0,16.0,unknown,non_reader
56,0,68.0,52.0,male,non_reader
57,0,22.0,31.0,unknown,non_reader
58,0,607.0,401.0,male,reader
59,0,14.0,50.0,male,non_reader
60,0,65.0,340.0,male,non_reader
61,0,3.0,28.0,male,non_reader
62,0,193.0,270.0,male,contributor
63,0,37.0,30.0,female,non_reader
64,0,20.0,10.0,male,non_reader
65,0,248.0,508.0,unknown,reader
66,0,13.0,7.0,unknown,non_reader
67,0,24.0,114.0,unknown,non_reader
68,0,2.0,6.0,female,non_reader
69,0,3117.0,3937.0,male,reader
70,0,29.0,22.0,male,non_reader
71,0,111.0,76.0,male,non_reader
72,0,38.0,23.0,male,non_reader
73,0,1413.0,2234.0,male,reader
74,0,31.0,54.0,male,non_reader
75,0,188.0,88.0,male,non_reader
76,0,30.0,14.0,male,non_reader
77,0,34.0,14.0,female,non_reader
79,0,2.0,11.0,unknown,non_reader
80,0,30.0,366.0,male,reader
81,0,91.0,3.0,unknown,new_user
82,0,26.0,18.0,unknown,non_reader
83,0,21.0,24.0,unknown,non_reader
84,0,1385.0,463.0,female,reader
85,0,16.0,4.0,unknown,new_user
86,0,207.0,412.0,unknown,non_reader
87,0,47.0,15.0,male,non_reader
88,0,160.0,20.0,female,non_reader
89,0,345.0,652.0,male,reader
90,0,20.0,12.0,female,non_reader
91,0,45.0,23.0,male,non_reader
92,0,119.0,42.0,female,non_reader
93,0,54.0,12.0,unknown,non_reader
95,0,3.0,25.0,female,non_reader
96,0,50.0,411.0,female,non_reader
97,0,18.0,49.0,male,non_reader
99,0,453.0,387.0,male,reader
100,0,33.0,106.0,male,non_reader
101,0,1222.0,1414.0,male,contributor
102,0,20.0,24.0,male,non_reader
103,0,512.0,556.0,male,non_reader
105,0,34.0,19.0,unknown,non_reader
106,0,216.0,241.0,male,non_reader
107,0,46.0,94.0,male,non_reader
108,0,6.0,35.0,male,non_reader
109,0,186.0,157.0,male,non_reader
110,0,33.0,27.0,male,non_reader
112,0,447.0,452.0,male,reader
113,0,1.0,3.0,female,non_reader
114,0,13.0,9.0,male,non_reader
115,0,3.0,70.0,female,non_reader
116,0,173.0,36.0,male,non_reader
117,0,48.0,12.0,male,non_reader
118,0,20.0,8.0,male,non_reader
119,0,140.0,270.0,male,non_reader
120,0,290.0,184.0,male,reader
121,0,87.0,102.0,male,non_reader
122,0,203.0,14.0,female,non_reader
123,0,11645.0,116694.0,male,contributor
124,0,59.0,78.0,unknown,non_reader
125,0,6.0,35.0,male,non_reader
127,0,38.0,42.0,male,non_reader
128,0,6.0,95.0,female,non_reader
129,0,14.0,33.0,male,non_reader
130,0,14.0,83.0,male,non_reader
131,0,2.0,15.0,male,non_reader
132,0,86.0,9.0,female,new_user
133,0,11.0,1.0,unknown,new_user
134,0,102.0,180.0,female,non_reader
136,0,12.0,111.0,unknown,non_reader
137,0,3.0,2.0,female,new_user
138,0,3.0,10.0,male,non_reader
139,0,51.0,215.0,male,non_reader
140,0,31.0,40.0,male,non_reader
141,0,82.0,124.0,male,non_reader
142,0,307.0,141.0,male,non_reader
143,0,42.0,9.0,male,non_reader
144,0,4831.0,12471.0,male,reader
145,0,29.0,5.0,male,non_reader
146,0,1991.0,4068.0,male,reader
147,0,9.0,7.0,male,non_reader
148,0,22.0,,female,non_reader
149,0,1578.0,1486.0,male,reader
150,0,927.0,1477.0,unknown,reader
151,0,3139.0,2274.0,male,reader
152,0,194.0,133.0,male,non_reader
154,0,80.0,50.0,unknown,non_reader
156,0,540.0,802.0,male,reader
157,0,44.0,28.0,male,non_reader
158,0,12.0,57.0,female,non_reader
159,0,13.0,9.0,female,non_reader
160,0,5.0,8.0,unknown,non_reader
161,0,4.0,13.0,unknown,non_reader
162,0,88.0,96.0,male,non_reader
163,0,159.0,60.0,female,non_reader
164,0,171.0,244.0,male,non_reader
165,0,6.0,13.0,male,non_reader
166,0,8.0,7.0,female,non_reader
167,0,17.0,19.0,male,non_reader
170,0,15.0,184.0,unknown,reader
171,0,4.0,25.0,female,non_reader
172,0,15.0,23.0,male,non_reader
173,0,24.0,31.0,female,non_reader
174,0,2220.0,201.0,male,non_reader
175,0,102.0,79.0,female,non_reader
176,0,61.0,50.0,male,non_reader
177,0,30.0,35.0,female,non_reader
178,0,64.0,72.0,female,non_reader
179,0,48.0,74.0,male,non_reader
180,0,638.0,155.0,male,non_reader
181,0,4.0,17.0,unknown,non_reader
182,0,1859.0,2240.0,female,reader
183,0,21.0,2.0,female,non_reader
184,0,6.0,36.0,male,non_reader
185,0,1636.0,909.0,male,contributor
186,0,141.0,414.0,male,reader
187,0,58.0,35.0,female,non_reader
188,0,11.0,15.0,female,non_reader
189,0,5.0,1.0,unknown,new_user
190,0,1807.0,1285.0,female,reader
191,0,790.0,534.0,male,reader
192,0,54.0,104.0,male,non_reader
193,0,46.0,65.0,female,non_reader
194,0,38.0,49.0,male,non_reader
195,0,35.0,50.0,female,non_reader
197,0,618.0,82.0,unknown,non_reader
198,0,30.0,39.0,male,non_reader
199,0,2.0,16.0,male,non_reader
200,0,289.0,461.0,male,non_reader
201,0,66.0,79.0,male,non_reader
202,0,12.0,27.0,male,non_reader
203,0,5.0,18.0,female,non_reader
204,0,130.0,157.0,female,non_reader
205,0,47.0,4.0,male,new_user
206,0,64.0,56.0,unknown,non_reader
207,0,563.0,678.0,male,non_reader
208,0,4.0,,male,non_reader
209,0,517.0,1624.0,male,reader
210,0,442.0,495.0,male,reader
211,0,45.0,20.0,female,non_reader
212,0,675.0,751.0,male,reader
213,0,6.0,,female,new_user
214,0,162.0,450.0,female,reader
215,0,81.0,59.0,male,non_reader
216,0,4250.0,934.0,male,reader
217,0,5.0,3.0,female,non_reader
218,0,40.0,66.0,male,non_reader
219,0,73.0,158.0,female,reader
220,0,41.0,35.0,male,non_reader
221,0,1733.0,682.0,male,non_reader
222,0,8.0,14.0,male,non_reader
223,0,30.0,24.0,male,non_reader
224,0,13.0,18.0,male,non_reader
225,0,2370.0,2768.0,male,reader
226,0,99.0,61.0,male,non_reader
227,0,147.0,149.0,male,non_reader
228,0,36.0,63.0,unknown,non_reader
229,0,1275.0,1570.0,male,reader
231,0,211.0,215.0,male,non_reader
232,0,546.0,269.0,unknown,non_reader
233,0,15.0,32.0,male,non_reader
234,0,366.0,1080.0,female,reader
235,0,2446.0,158.0,female,reader
236,0,124.0,233.0,male,non_reader
237,0,75.0,76.0,male,non_reader
238,0,18.0,36.0,male,non_reader
239,0,15.0,14.0,male,non_reader
240,0,1.0,2.0,male,new_user
241,0,87.0,310.0,male,non_reader
242,0,11.0,41.0,male,non_reader
243,0,210.0,352.0,female,reader
245,0,3.0,12.0,male,non_reader
246,0,615.0,1147.0,female,reader
247,0,29.0,25.0,male,non_reader
248,0,4181.0,502.0,male,reader
250,0,175.0,202.0,female,non_reader
251,0,734.0,586.0,female,reader
252,0,20.0,19.0,unknown,non_reader
253,0,2322.0,2069.0,female,reader
254,0,405.0,400.0,male,non_reader
255,0,35.0,118.0,male,non_reader
256,0,54.0,81.0,female,non_reader
257,0,4.0,33.0,male,non_reader
258,0,51.0,96.0,female,reader
259,0,1.0,25.0,female,non_reader
260,0,5.0,426.0,male,non_reader
262,0,75.0,63.0,male,reader
263,0,2866.0,3920.0,male,contributor
264,0,63.0,65.0,male,non_reader
265,0,22.0,8.0,unknown,non_reader
266,0,10.0,4.0,male,new_user
267,0,9.0,15.0,female,non_reader
268,0,567.0,464.0,male,non_reader
269,0,61.0,35.0,unknown,non_reader
270,0,27.0,170.0,male,non_reader
271,0,94.0,177.0,male,non_reader
272,0,3.0,3.0,female,new_user
273,0,544.0,468.0,male,reader
274,0,166.0,247.0,male,non_reader
275,0,2.0,9.0,unknown,non_reader
276,0,5.0,4.0,unknown,non_reader
277,0,98.0,29.0,female,non_reader
278,0,184.0,122.0,female,non_reader
279,0,138.0,309.0,male,non_reader
280,0,516.0,2121.0,male,reader
281,0,392.0,70.0,male,reader
282,0,429.0,113.0,male,non_reader
283,0,208.0,222.0,male,non_reader
286,0,20.0,10.0,female,non_reader
287,0,4.0,10.0,male,non_reader
288,0,22.0,102.0,male,non_reader
289,0,44.0,112.0,female,non_reader
290,0,108.0,108.0,male,non_reader
292,0,40.0,18.0,female,non_reader
293,0,2.0,60.0,unknown,reader
294,0,48.0,145.0,male,non_reader
295,0,19.0,10.0,unknown,new_user
296,0,5395.0,4370.0,female,contributor
297,0,127.0,92.0,unknown,non_reader
298,0,91.0,14.0,male,non_reader
299,0,71.0,104.0,male,non_reader
300,0,152.0,8.0,unknown,non_reader
301,0,37.0,47.0,unknown,non_reader
302,0,45.0,75.0,male,non_reader
303,0,127.0,174.0,unknown,non_reader
304,0,1149.0,7009.0,female,reader
305,0,17.0,11.0,female,non_reader
306,0,90.0,86.0,unknown,non_reader
307,0,60.0,301.0,unknown,reader
308,0,45.0,42.0,female,non_reader
309,0,37.0,59.0,female,non_reader
310,0,109.0,142.0,male,non_reader
311,0,1146.0,826.0,unknown,reader
312,0,214.0,68.0,female,non_reader
